,BBCNewsTimes Stamp,BBCNewsTweet Text,BBCNewsCompound,BBCNewsPositive,BBCNewsNegative,BBCNewsNeutral,CBSNewsTimes Stamp,CBSNewsTweet Text,CBSNewsCompound,CBSNewsPositive,CBSNewsNegative,CBSNewsNeutral,CNNTimes Stamp,CNNTweet Text,CNNCompound,CNNPositive,CNNNegative,CNNNeutral,FoxNewsTimes Stamp,FoxNewsTweet Text,FoxNewsCompound,FoxNewsPositive,FoxNewsNegative,FoxNewsNeutral,YTTimes Stamp,YTTweet Text,YTCompound,YTPositive,YTNegative,YTNeutral
0,1/12/18 4:22,RT @samanthabbcnews: So @realDonaldTrump cancels his visit to the #UK - what will this mean for the special relationship between the US andâ€_,0.1335,0.109,0.088,0.804,1/12/18 4:20,"""Those words cannot affect me"": Haitians react to Pres. Trump's crude comment https://t.co/W2TKCis26w https://t.co/4biu14v5I6",-0.5719,0,0.222,0.778,1/12/18 4:16,The Trump administration's proposal to open vast portions of US coastline to oil drilling was met with ferocious opâ€_ https://t.co/e60n7hqiXz,-0.1027,0,0.069,0.931,1/12/18 4:15,".@NancyPelosi mocks 'white guys' leading DACA talks, prompting Hoyer anger https://t.co/qIF0Poi4fT",-0.7717,0,0.427,0.573,1/12/18 4:23,Messiâ€™s 2 Goals Help Barcelona Advance in Copa del Rey. https://t.co/talMLAUDae,0.4019,0.231,0,0.769
1,1/12/18 3:13,HMRC 'hit by Brexit and Paradise Papers' https://t.co/cQuE82MzER,0.6369,0.375,0,0.625,1/12/18 4:06,"""He's the reason why we stay positive through all this."" 6-year-old Ryland Ward, the last Sutherland Springs, Texasâ€_ https://t.co/sRvxRgvNvf",0.5574,0.167,0,0.833,1/12/18 4:11,"Ethiopia has banned the adoption of Ethiopian children by foreign families, according to the country's state-run Neâ€_ https://t.co/ghD6zh3DIG",-0.4588,0,0.15,0.85,1/12/18 4:05,Dr. Oz had to rescue a sick passenger on his flight https://t.co/dHkNPW0rAJ,0,0.212,0.212,0.577,1/12/18 4:21,"From Norway to Haiti, Trumpâ€™s Comments Stir Fresh Outrage. https://t.co/Sx9XHVXoPh",-0.25,0.169,0.243,0.588
2,1/12/18 2:57,Shahida Shahid's allergy death was 'terrible mistake' https://t.co/S3LZV14dLC,-0.8555,0,0.653,0.347,1/12/18 4:05,"""He's the reason why we stay positive through all this."" 6-year-old Ryland Ward, the last Sutherland Springs, Texasâ€_ https://t.co/czlqqgOQ2r",0.5574,0.167,0,0.833,1/12/18 4:08,New York Federal Reserve President William Dudley is worried new tax cuts could risk overheating the US economy inâ€_ https://t.co/ytOO2ArmnS,-0.6705,0,0.277,0.723,1/12/18 4:01,".@AnnCoulter on crimes committed by illegal immigrants: ""These killings going forward, if #Trump does not keep hisâ€_ https://t.co/8q1STgYW4U",-0.7906,0.083,0.321,0.595,1/12/18 3:57,Trump Is Expected to Stop Short of Reimposing Strict Sanctions on Iran. https://t.co/7ec8Bi2Yri,-0.296,0,0.155,0.845
3,1/12/18 1:47,BRCA gene mutation 'doesn't affect breast cancer survival' https://t.co/TJ1S1Fxdxz,0.5448,0.305,0,0.695,1/12/18 3:40,Handcuffed teacher in Louisiana says school board head should resign https://t.co/vmsQT4W7PB https://t.co/3qZBltNqlr,-0.34,0,0.179,0.821,1/12/18 4:07,"With the Pentagon's final report into the Niger ambush expected by the end of January, CNN is learning new detailsâ€_ https://t.co/DSWPAlCBrA",0,0,0,1,1/12/18 3:53,".@Michael_Wildes on @POTUS' comment on 's---hole countries': ""The dialogue has deteriorated. We have, unfortunatelyâ€_ https://t.co/JUCrpfEL9a",0,0,0,1,1/12/18 3:56,Trump Hates the Iran Deal but Wonâ€™t Kill It. Why?. https://t.co/oNeNY8K1sr,-0.8591,0,0.486,0.514
4,1/12/18 1:11,Government to hold pensions talks with Carillion https://t.co/c8NWcnMqh3,0,0,0,1,1/12/18 3:40,Coroner releases identities of 17 victims killed in Montecito mudslides https://t.co/sdHACDeVoJ https://t.co/v8LYGVKP5T,-0.7783,0,0.405,0.595,1/12/18 4:05,Fiat Chrysler Automobiles is feeling good about tax reform. So good that it says it's moving some of its truck prodâ€_ https://t.co/cvDEPY4uwQ,0.743,0.278,0,0.722,1/12/18 3:43,"Maryland historian pleads guilty to stealing hundreds of military dog tags, historic items, officials say https://t.co/imKkzhqG7X",-0.7579,0,0.317,0.683,1/12/18 3:52,"Editorial: Albany, Pass the Child Victims Act. https://t.co/pRQ8M5HiBd",-0.3182,0,0.247,0.753
5,1/12/18 1:01,"Rail strikes hit Northern, Greater Anglia, South Western and Merseyrail https://t.co/FPF97b4r0F",0,0.179,0.179,0.643,1/12/18 3:05,"After spending two months in the hospital, a six-year-old injured in the Sutherland Springs church shooting is giveâ€_ https://t.co/HNuPNqy3eI",-0.4019,0,0.137,0.863,1/12/18 4:02,Anderson Cooper: The people of Haiti have withstood more than our President ever has https://t.co/wOhJ8lPlhL https://t.co/IKQTqe2yCT,0,0,0,1,1/12/18 3:32,".@IngrahamAngle on immigration reform negotiations: ""I suggest that the 'great bipartisan working group' should shaâ€_ https://t.co/c5Y9kCUt5l",0.6249,0.215,0,0.785,1/12/18 3:24,A Wall St. Executiveâ€™s Downfall Seemed Sudden. It Was Years in the Making.. https://t.co/71KZPMkwvk,0,0,0,1
6,1/12/18 0:46,RT @BBCWorld: The Queen shares memories of her coronation and the perils of wearing the Imperial State Crown when she makes a rare appearanâ€_,0.296,0.091,0,0.909,1/12/18 3:00,"Murder charge for 2 men in fatal shooting of Wash. deputy, authorities say https://t.co/ujFZJdDkmd https://t.co/WxqWWwCqiN",-0.8481,0,0.406,0.594,1/12/18 3:56,Haitian-American GOP congresswoman demands President Trump apologize for his reported comments criticizing immigranâ€_ https://t.co/Bo0YRHFoRR,-0.2732,0.088,0.157,0.755,1/12/18 3:21,".@RepAndyBiggsAZ: Mr. #Trump, fund, start, and finish the wall before you tackle DACA, illegal immigration https://t.co/M1FaVEaXQI",-0.5574,0,0.194,0.806,1/12/18 3:22,"Kering to Spin Off Puma, Saying Goodbye to Sports Lifestyle. https://t.co/u9HWU7ebVv",0,0,0,1
7,1/12/18 0:04,BBC 'deeply unimpressed' over Carrie Gracie pay jokes https://t.co/JkNKXEjpFG,-0.2716,0.165,0.338,0.496,1/12/18 2:45,"Facing sexual misconduct allegations, James Franco says he has his own side of the story -- but the actor says he iâ€_ https://t.co/a3Ib0TE7p2",0,0,0,1,1/12/18 3:54,Google is doing away with Chrome's parental control program https://t.co/mD9E37zbSw https://t.co/hRptsE8OKf,0,0,0,1,1/12/18 3:08,"""You are the spirit of this nation in every sense."" â€”@VP Mike Pence thanked servicemembers during a visit toâ€_ https://t.co/jenGW8e8kr",0.5574,0.213,0,0.787,1/12/18 3:21,Breakingviews: Walmartâ€™s Minor Act of Redistribution. https://t.co/y207onRBTq,0,0,0,1
8,1/11/18 23:42,Watchdog to review Â£11bn UK roll-out of smart meters https://t.co/kAMsbFvpcW,0.4019,0.231,0,0.769,1/12/18 2:25,"""I pray to be cured"": Two sisters severely burned in Syrian conflict seek normalcy in Jordan https://t.co/xMr7FupWxb https://t.co/zoqfzCsTpM",-0.4588,0.102,0.235,0.664,1/12/18 3:53,What is Section 702 of FISA? Here's a closer look https://t.co/EBY1mCvHpD https://t.co/yACwynQxFX,0,0,0,1,1/12/18 2:57,"Christian persecution continues to rise, more incidents against women in 2017, new report says https://t.co/07nDetU64M",0,0,0,1,1/12/18 3:06,Timeâ€™s Up for James Franco?. https://t.co/84ccGU4n6f,0,0,0,1
9,1/11/18 22:59,"Friday's i: ""Patients dying in hospital corridors"" https://t.co/jBJqIR0Qgl #bbcpapers #tomorrowspaperstoday (via @hendopolis)",0,0,0,1,1/12/18 2:23,"Facebook to overhaul news feed to focus on friends and family, CEO Mark Zuckerberg says https://t.co/2aorROJRIq https://t.co/aIX5KfQXS8",0.4767,0.162,0,0.838,1/12/18 3:51,"The ""Fire and Fury"" publisher says 1.4 million copies have been ordered https://t.co/om3CU5bNhE https://t.co/0pGYBlxsaV",-0.7269,0,0.337,0.663,1/12/18 2:45,Red faces at NBC as star reporter @RonanFarrow splits for @HBO https://t.co/h18mjGs68N,0,0,0,1,1/12/18 2:52,Review: Surprise Lessons From John Lithgowâ€™s â€˜Stories by Heartâ€™. https://t.co/8sRTLA827b,0.2732,0.189,0,0.811
